,index,Feature name,Coefficients,p_values,Original feature name,Score Calculation,Score Preliminary
27,27,purpose:maj_pur__car__home_impr,0.26585145672148536,1.4408887919414195e-17,purpose,21.31825230613309,21.0
28,28,initial_list_status:w,0.13527385533361339,4.990487174437546e-26,initial_list_status,10.847419133935693,11.0
29,29,term:36,0.047800949905469924,0.0007133432174513339,term,3.833090565402499,4.0
30,30,emp_length_int:1,0.0828071173959014,0.001381052578960487,emp_length_int,6.640185625308787,7.0
31,31,emp_length_int:2-4,0.10773753071395514,1.0740714886715046e-08,emp_length_int,8.639320208826375,9.0
32,32,emp_length_int:5-6,0.05600404355324547,0.008716268765202503,emp_length_int,4.4908850429303095,4.0
33,33,emp_length_int:7-9,0.04297367311410244,0.038419378497621885,emp_length_int,3.445998066986274,3.0
34,34,emp_length_int:10,0.10810695577776863,4.200378883739541e-09,emp_length_int,8.668943882195355,9.0
35,35,months_since_issue_d:<3,-0.4077207161414561,8.07666164792243e-60,months_since_issue_d,-32.6945475655104,-33.0
36,36,months_since_issue_d:3-8,-0.5209679593757508,1.1629653652341058e-116,months_since_issue_d,-41.77568382865281,-42.0
37,37,months_since_issue_d:8-13,-0.6108328822231504,2.2738913282448776e-97,months_since_issue_d,-48.981824890874115,-49.0
38,38,months_since_issue_d:13-18,-0.5748076646820525,1.07413749951209e-62,months_since_issue_d,-46.093013648703526,-46.0
39,39,months_since_issue_d:18-25,-0.5642662801174515,2.981456521505943e-59,months_since_issue_d,-45.24771492972916,-45.0
40,40,months_since_issue_d:25-31,-0.6239895912998636,2.678885500679851e-54,months_since_issue_d,-50.036842783477226,-50.0
41,41,months_since_issue_d:31-36,-0.4253337800273061,5.435760954583308e-14,months_since_issue_d,-34.10691424739002,-34.0
42,42,months_since_issue_d:36-64,-0.584902749755709,1.1579053627241467e-48,months_since_issue_d,-46.902524242725015,-47.0
43,43,int_rate:<9.548,1.534388731724347,1.8064472323628987e-97,int_rate,123.04046222645209,123.0
44,44,int_rate:9.548-12.025,0.991013251497367,1.2297457759639325e-113,int_rate,79.46795099293054,79.0
45,45,int_rate:12.025-15.74,0.6626144567427981,7.959459985123605e-77,int_rate,53.13411611407083,53.0
46,46,int_rate:15.74-20.281,0.275813401643479,8.000972081003858e-22,int_rate,22.11708657970018,22.0
47,47,months_since_earliest_cr_line:141-164,0.034588762083330095,0.16403319770344238,months_since_earliest_cr_line,2.7736239106702936,3.0
48,48,months_since_earliest_cr_line:165-247,-0.00395638311579578,0.8442296100315019,months_since_earliest_cr_line,-0.31725676632503863,-0.0
49,49,months_since_earliest_cr_line:248-270,0.028645086807346138,0.27685836361922633,months_since_earliest_cr_line,2.297008996756561,2.0
50,50,months_since_earliest_cr_line:271-352,0.06778021636198098,0.004076252692203251,months_since_earliest_cr_line,5.435199684772777,5.0
51,51,months_since_earliest_cr_line:>352,0.07262942202723342,0.006670483465379687,months_since_earliest_cr_line,5.824050628570622,6.0
52,52,inq_last_6mths:0,0.7522950297680732,9.4457498154051e-18,inq_last_6mths,60.32547442479209,60.0
53,53,inq_last_6mths:1-2,0.6008456652516606,7.13283455747651e-12,inq_last_6mths,48.180964087401584,48.0
54,54,inq_last_6mths:3-6,0.37449309147312615,2.27453066904869e-05,inq_last_6mths,30.030071339017322,30.0
